component,name,componentVersion,description,publicationDate,status,functionalBlock
TMFC023,PartyInteractionManagement,1.1.0,"Party Interaction deals with the initial greeting and welcoming of a new contact. This will typically be the first component in a customer experience journey, shared by unassisted (self-service, retail kiosk) or assisted (call center, retail store) channels. It will identify known parties or new parties and react appropriately to propose available actions. It records all the interactions for the parties from all channels.",2024-04-30 00:00:00,specified,PartyManagement
TMFC024,BillingAccountManagement,2.0.0,"The billing account management component aims to provide all the needed functionalities to create, configure and modify billing accounts. BAM component has the goal to support and handle the following capabilities/ functionalities. Set-up/ creation of Billing account. Associate payment plan(s). Associate payment method(s) - optional. Account taxes/ fees exception management. Define account associations. Provide account balance details. Set-up Billing contacts. Set-up Billing preferences (e.g., bill cycle frequency, invoice media type, invoice template option, etc.)",2024-11-18 00:00:00,specified,PartyManagement
TMFC027,ProductConfigurator,2.1.1,"The Product Configurator ODA Component is empowering sales by offering the right product combinations, controlling discounting, and automating approvals through support of configuration, pricing and quote generation activities.",2023-11-27,specified,CoreCommerceManagement
TMFC028,PartyManagement,2.1.0,"Party Management component is responsible for the capture, validation and management of Parties and their Roles. A Party may be an individual or organization that has a relationship with an enterprise. In this context it is responsible for the e2e life cycle of: Individual, Organization. and its related sub-entities:Contact Medium, Currency and tax exemption certificates, Identification, Community",2024-10-14 00:00:00,specified,PartyManagement
TMFC029,PaymentManagement,1.2.0,"Payment Management manages methods used by parties to make payments, it also administers payment plan, handles payment, assigns payments against bills, settlements, and other object requiring payments.",2024-11-18 00:00:00,specified,PartyManagement
TMFC030,BillGenerationManagement,2.0.0,"Bill generation mgmt. manage the party invoice management. It addresses the invoice formatting, presentation and dispatching to the proper means of communication.",2024-12-03,specified,PartyManagement
TMFC031,BillCalculation,2.0.0,"The Bill Calculation processes all charges against billing accounts during bill cycles. Bill Calculation can be executed both on a cyclic basis and on demand. It performs calculations with bill compilation of charges, credits, fees & taxes, including prorata, at various levels, such as product and/or account level that have been generated since the last run for that account, applying promotions and discounts as well.",2023-06-25,specified,CoreCommerce
TMFC035,PermissionsManagement,1.1.1,"Party Roles & Permissions Management component aims to manage and expose, roles and related permissions. Permissions Management component allows to: create, modify and delete permissions. delegate permissions. When a specific role is assigned, a set of permissions is inherited.",2023-08-18 00:00:00,specified,PartyManagement
TMFC036,LeadAndOpportunityManagement,1.2.0,"Lead and Opportunity Management provides the necessary functionality during pre-sales stage in terms of: lead and opportunity capture, qualification, reporting, support.",2023-11-18 00:00:00,specified,PartyManagement
TMFC037,ServicePerformanceManagement,1.2.0,"Service Performance Management will monitor, analyze, and report on the end-end service performance. This can include a real-time, end-to-end view to ensure that each service is functioning correctly as well as a historical view. These functions build on the Resource Performance data and active end-end service performance test data to provide a view of a service. The component provides a key input to determine the Quality of Service.",2024-12-17 00:00:00,specified,IntelligenceManagement
TMFC038,ResourcePerformanceManagement,1.2.0,"Resource Performance Management will monitor, analyze, and report on the performance of the service provider's resources.",2024-12-17 00:00:00,specified,IntelligenceManagement
TMFC039,AgreementManagement,1.1.0,"Agreement Management component is responsible for creating, storing, editing, and tracking agreed  arrangements with related terms and conditions over a lifecycle. The component manages offers, records acceptance, and associated considerations and intentions to establish agreements as legally binding. As well this components provides workfows and templates that facilitates collaboration, communication and negotiation of agreements between parties, and administers the specificities related to translate  agreements into contracts, when it is required. It provides a secure storage, version control, compliance management, and renewal notifications for agreements.",2024-08-19 00:00:00,specified,PartyManagement
TMFC040,ProductUsageManagement,1.1.0,"Provides standardized mechanism for product usage management such as creation, update, retrieval, import and export of a collection of usages. It allows a service provider to 1) retrieve usage generated by a partner service platform in order to rate it and 2) to provide rated usage to a partner for consumption follow-up purposes.",2024-10-22,specified,CoreCommerce
TMFC041,AnomalyManagement,1.1.0,"The Anomaly Management ODA Component is responsible for predicting, detecting and managing anomalous patterns in the usage and behavior of products, services and resources in order to avoid occurence of problems. Anomaly Management ODA component has fuctionality to predict, detect and flag unusual patterns or outliers for products, services and resource entities, and initiating mitigatory actions to prevent outlier patterns in usage or behavior to become problems. In the event of failure to predict or detect an early warning signt to a possible problem occurence, the component hands of mitigatory actions to the ODA problem management component.",2024-11-19 00:00:00,specified,Intelligence Management
TMFC043,FaultManagement,1.0.0,"Fault management involves identifying, diagnosing, and resolving issues that prevent the communication resources and their overlaying services from functioning correctly It s scope covers this functionality at the ODA Production layer while Buiness related resolutions are not part of its scope. The Fault Management component manages the currently active alarms or problem candidates. potentially modifying or enhancing their data to make the persistent alarms more actionable. It may apply logic to preserve alarms that reflect actual problems, eliminating those that are merely symptoms. Various actions can be taken using the alarm/problem information as part of the resolution process, such asProduction applying automated corrective actions or opening trouble tickets.",2025-03-11 00:00:00,specified,Production
TMFC046,WorkforceManagement,1.1.0,"Workforce Management provides capabilities to describe teams, organizations, skills and availability of sales / technical experts. It provides the ability in reserving time slots to carry out assigned task (internal or customer facing). It allows the reservation (and their updates / reschedule) of appointments and interventions. option, etc.)",2024-04-18 00:00:00,specified,Production
TMFC050,ProductRecommendationManagement,1.0.0,Product Recommendation Management component is responsible for evaluating and providing party recommendations offerings based on the history and real-time context of a party.,2024-12-03,specified,IntelligenceManagement
TMFC054,ProductTestManagement,1.0.0,"Product Test Management is responsible for: Product Test Specification: for each Product Specification, identification of the possible tests to launch automatically, by the delivery or assurance processes, or manually by the customer or user, or by a CSR, to test a product functioning. They are based on tests available at service specification level (or resource specification level for a tangible product).Product Test end-to-end execution and reporting according to the context and/or the actor",2025-02-25 00:00:00,specified,CoreCommerce
TMFC062,ResourceConfigurationandActivation,1.0.0,The Resource Configuration and Activation component is responsible to configure and activate the resource instances and as well to provide query on resource instances to acquire the resource activation states and attributes.,2024-11-18 00:00:00,specified,Production
