component,name,componentVersion,description,publicationDate,status,functionalBlock
TMFC012,ResourceInventory,2.1.0,"The Resource Inventory component owns accounting for resources (all inputs - including stock, parts, assets, production components etc.) that are owned and/or held for allocation and/or use by the organization. The Resource Inventory component has functionality that includes inventory item creation, inventory organization, inventory search or filter, inventory monitoring and tracking, inventory control (organization, re-stock management etc.) and inventory auditing. The minimum check to be performed at inventory item creation or update is for global consistency with related Resource Catalog information.",2024-11-18 00:00:00,specified,Production
TMFC014,LocationManagement,1.1.1,"The Location Management Component  allows easy reference to geographic places important to other entities, where a geographic place is an entity that can answer the question ""where?"" This component could be a facade tool into GIS systems (eg Google Maps).",2023-08-18 00:00:00,specified,Production
TMFC019,EventManagement,1.1.1,"The Event Management component is a messaging management component, responsible for processing events as they happen from components. Processing of a record of activities includes modeling event messages, syntax validation and formatting of event messages and sending/receiving messages between components (consumer/producer). The Event Management component supports different patterns of usage, including event notification (subscription), event-sourcing (representational state changes) and event-carried state transfer (including data needed to perform further processing). The Event Management component includes functionality providing a centralized CQRS query store for all components that implement event-sourcing with event carrier state transfer.",2023-08-18 00:00:00,specified,DecouplingAndIntegration
TMFC020,DigitalIdentityManagement,1.1.0,"The Digital Identity Management component is responsible for authentication of parties (customers, employees, partners), and resources authentication.",2023-08-18 00:00:00,specified,PartyManagement
TMFC022,PartyPrivacyManagement,1.1.0,"The Party Privacy Management component defines the privacy policy rules established by the CSP (according to applicable regulations such as GDPR in Europe); applies these rules to each Party interacting with the CSP and to all of their personal information and personally identifiable information; and registers explicit opt-in and opt-out given by Parties regarding the use of their personal information for dedicated purposes, such as marketing.",2024-08-08,specified,PartyManagement
TMFC023,PartyInteractionManagement,1.1.0,"Party Interaction deals with the initial greeting and welcoming of a new contact. This will typically be the first component in a customer experience journey, shared by unassisted (self-service, retail kiosk) or assisted (call center, retail store) channels. It will identify known Parties or new Parties and react appropriately to propose available actions. It records all the interactions for the Parties from all channels.",2024-04-30 00:00:00,specified,PartyManagement
TMFC024,BillingAccountManagement,2.0.0,"The Billing Account Management (BAM) component provides all the needed functionalities to create, configure and modify billing accounts. The BAM component supports and handles the following capabilities/functionalities - setup/creation of billing accounts, associate payment plan(s), associate payment method(s) (optional), account taxes/fees exception management, define account associations, provide account balance details, set up billing contacts, set up billing preferences (eg bill cycle frequency, invoice media type, invoice template option, etc.)",2024-11-18 00:00:00,specified,PartyManagement
TMFC027,ProductConfigurator,2.1.1,"The Product Configurator component empowers sales by offering the right product combinations, controlling discounting, and automating approvals through support of configuration, pricing and quote generation activities.",2023-11-27,specified,CoreCommerce
TMFC028,PartyManagement,2.1.0,"The Party Management component is responsible for the capture, validation and management of Parties and their Roles. A Party may be an individual or organization that has a relationship with an enterprise. In this context it is responsible for the end-to-end lifecycle of: Individual, Organization and its related sub-entities, Contact Medium, Currency and tax exemption certificates, Identification, and Community.",2024-10-14 00:00:00,specified,PartyManagement
TMFC029,PaymentManagement,1.2.0,"Payment Management manages methods used by parties to make payments. It also administers payment plans, handles payments, assigns payments against bills, settlements, and other objects requiring payments.",2024-11-18 00:00:00,specified,PartyManagement
TMFC030,BillGenerationManagement,2.0.0,"The Bill Generation component is responsible for Party invoice management. It addresses the invoice formatting, presentation and dispatching via the appropriate means of communication.",2024-12-03,specified,PartyManagement
TMFC031,BillCalculation,2.0.0,"The Bill Calculation component processes all charges against billing accounts during bill cycles. Bill Calculation can be executed both on a cyclic basis and on demand. It performs calculations with bill compilation of charges, credits, fees & taxes, including pro rata, at various levels, such as product and/or account level that have been generated since the last run for that account, applying promotions and discounts.",2023-06-25,specified,CoreCommerce
TMFC035,PermissionsManagement,1.1.1,"The Permissions Management component manages and exposes roles and related permissions. This component enables creation, modification and deletion of permissions and delegate permissions. When a specific role is assigned, a set of permissions is inherited.",2023-08-18 00:00:00,specified,PartyManagement
TMFC036,LeadAndOpportunityManagement,1.2.0,"Lead and Opportunity Management provides the functionality for lead and opportunity capture, qualification, reporting, and support during the pre-sales stage.",2023-11-18 00:00:00,specified,PartyManagement
TMFC037,ServicePerformanceManagement,1.2.0,"Service Performance Management monitors, analyzes, and reports on end-to-end service performance. This can include a real-time, end-to-end view to ensure that each service is functioning correctly as well as a historical view. These functions build on the Resource Performance data and active end-to-end service performance test data to provide a view of a service. The component provides a key input to determine Quality of Service.",2024-12-17 00:00:00,specified,IntelligenceManagement
TMFC038,ResourcePerformanceManagement,1.2.0,"Resource Performance Management monitors, analyzes, and reports on the performance of the service provider's resources.",2024-12-17 00:00:00,specified,IntelligenceManagement
TMFC039,AgreementManagement,1.1.0,"The Agreement Management component is responsible for creating, storing, editing, and tracking agreed arrangements with related terms and conditions over a lifecycle. The component manages offers, records acceptance, and associated considerations and intentions to establish agreements as legally binding. This component also provides workflows and templates that facilitate collaboration, communication and negotiation of agreements between parties, and administers the translation of agreements into contracts, when required. It provides secure storage, version control, compliance management, and renewal notifications for agreements.",2024-08-19 00:00:00,specified,PartyManagement
TMFC040,ProductUsageManagement,1.1.0,"Product Usage Management provides a standardized mechanism for creation, update, retrieval, import and export of a collection of usages. It allows a service provider to retrieve usage generated by a partner service platform in order to rate it, and provides rated usage to a partner for consumption follow-up purposes.",2024-10-22,specified,CoreCommerce
TMFC041,AnomalyManagement,1.1.0,"The Anomaly Management component is responsible for predicting, detecting and managing anomalous patterns in the usage and behavior of products, services and resources in order to avoid occurrence of problems. Anomaly Management has functionality for predicting, detecting and flagging unusual patterns or outliers for products, services and resource entities, and initiating mitigatory actions to prevent outlier patterns in usage or behavior becoming problems. In the event of failure to predict or detect an early warning sign of a possible problem occurrence, the component hands off mitigatory actions to the Party Problem Management component.",2024-11-19 00:00:00,specified,IntelligenceManagement
TMFC043,FaultManagement,1.0.0,"Fault Management involves identifying, diagnosing, and resolving issues that prevent the communication resources and their overlaying services from functioning correctly. Its scope covers this functionality at the ODA Production layer while business related resolutions are not part of its scope. The Fault Management component manages the currently active alarms or problem candidates, potentially modifying or enhancing their data to make persistent alarms more actionable. It may apply logic to preserve alarms that reflect actual problems, eliminating those that are merely symptoms. Various actions can be taken using the alarm/problem information as part of the resolution process, such as applying automated corrective actions or opening trouble tickets.",2025-03-11 00:00:00,specified,Production
TMFC046,WorkforceManagement,1.1.0,"Workforce Management provides capabilities to describe teams, organizations, skills and availability of sales / technical experts. It provides the ability to reserve time slots to carry out assigned tasks (internal or customer facing). It allows the reservation (and updates / rescheduling) of appointments and interventions.",2024-04-18 00:00:00,specified,Production
TMFC050,ProductRecommendationManagement,1.0.0,The Product Recommendation Management component is responsible for evaluating and providing Party recommendation offerings based on the history and real-time context of a Party.,2024-12-03,specified,IntelligenceManagement
TMFC054,ProductTestManagement,1.0.0,"Product Test Management is responsible for product test specification for each Product Specification, and identification of the possible tests to be launched automatically by the delivery or assurance processes, or manually by the customer or user or by a CSR, to test that a product is functioning correctly. It utilizes tests available at the service specification level (or resource specification level for a tangible product). Product Test Management owns end-to-end execution and reporting of product tests according to the context and/or the actor.",2025-02-25 00:00:00,specified,CoreCommerce
TMFC062,ResourceConfigurationandActivation,1.0.0,The Resource Configuration and Activation component configures and activates resource instances and enables querying of resource instances to acquire the resource activation states and attributes.,2024-11-18 00:00:00,specified,Production
