component,name,componentVersion,description,publicationDate,status,functionalBlock
TMFC001,ProductCatalogManagement,2.1.0,The Product Catalog Management component is responsible for organizing the collection of Products and Product Offering specifications that identify and define all requirements of a product or a product offering that can be commercialized.,2024-11-12 00:00:00,specified,CoreCommerce
TMFC002,ProductOrderCaptureAndValidation,2.1.0,"This component captures what a customer wants to order based on the CSP's Product Catalog. It enables configuration of the product offerings and products desired, provides quotes, checks the eligibility of the customer order, and completes it with information needed such as the related parties or associated billing account and the delivery appointment. This component owns quote management, order capture and validation, using dedicated components (eg Offering Configurator, Service Qualification, Party Management) when needed. After the delivery of the customer product order items, this component is also in charge of the commercial closure of the order. It includes update of the Product Inventory (status and starting/end date of tariffs and discounts) and potential commercial rules control (eg receipt of the contract document signed by the customer).",2024-11-12 00:00:00,specified,CoreCommerce
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,1.1.1,"This component orchestrates the delivery of Product Orders (status accepted). Based on the level of Product specification information available in the Product Catalog (eg prerequisite links between product specifications, links between product and CFS specifications...) it determines in which order the product specification level order items need to be delivered, and to which CFS (or Resource) specification each ordered product corresponds, and prepares and addresses each related service (or Resource) order to the production system in charge. During the delivery process execution, this component is in charge of the evolution of the status of the product specification level order items, and of the related product items, triggering updates of the related inventories.",2023-08-18 00:00:00,specified,CoreCommerce
TMFC005,ProductInventory,1.2.0,"The Product  Inventory component is responsible for storage and exposure of products that are assigned to and used by Parties. This component has functionality that enables creation of inventory items, inventory organization, inventory search or filter, inventory monitoring and tracking, inventory control and inventory auditing. The minimum check to be performed upon inventory item creation or update is for global consistency with related Product Catalog information.",2024-06-27 00:00:00,specified,CoreCommerce
TMFC006,ServiceCatalogManagement,1.2.0,"The Service Catalog Management component is responsible for organizing the collection of service specifications that identify and define all requirements of a service that can be performed. This component has the functionality that enables presentation of a customer-facing view so users are able to search and select services they need, as well as a technical view to enable definition and setup of what is needed to deliver service specifications (Customer Facing Service Specifications (CFSSs) and Resource Facing Service Specifications (RFSSs)) contained in the service catalog. The Service Catalog Management component has functionalities that include creation of new service specifications, managing service specifications, administering the lifecycle of services, describing relationships between service specification attributes, reporting on service specifications and their changes, and facilitating easy and systematic indexing and access to services, as well as facilitating automation of the service delivery process.",2024-11-12 00:00:00,specified,Production
TMFC007,ServiceOrderManagement,2.0.0,"Service Order Management (SOM) is the entry point to the Production Domain. It oversees delivery of Customer-Facing-Service (CFS) resources (network and service platform equipment). The SOM exposes the API ServiceOrder. It is triggered when the Product Order Delivery Orchestration And Management component calls this API to request CFS delivery. To achieve delivery of a CFS, the SOM orchestrates the CFS delivery process which identifies possible RFS and chooses one, using the catalog and technical inventory. It selects the resources (servers, equipment, etc.) and their instances, and requests the Resource Order Management (ROM) component to update selected resource instances to deliver CFS. Requests sent to the ROM contain the CFS and the list of configured resource instances to be updated.",2024-02-23,specified,Production
TMFC008,ServiceInventory,1.2.0,"The Service Inventory component is responsible for storage and exposure of CFS (Customer Facing Services) that are associated to Product Inventory items. It is also responsible for RFS (Resource Facing Service) definition, mapping between CFS and RFS and mapping with infrastructure/network resources. The Service Inventory component has functionality that enables creation of inventory items, inventory organization, inventory search or filter, inventory monitoring and tracking, inventory control and inventory auditing. The minimum check to be performed at inventory item creation or update is for global consistency with related Service Catalog information.",2024-11-12 00:00:00,specified,Production
TMFC009,ServiceQualificationManagement,1.1.0,"The Service Qualification Management component is responsible for checking and validating the availability of a service according to specified and configured business rules. It must identify at least one technical solution (RFSspec) available to deliver the service (CFSspec) and check the availability of all the resources types involved in this technical solution. No resources are allocated during service qualification. The Service Qualification Management component has functionality that includes checking service feasibility status and publishing or reporting service qualification results, but also calculated service delivery due date and identified need of an appointment at the customer site. Service Qualification Management can also be responsible for the cost calculation of the technical solution identified, when it cannot be determined at catalog design time (complex B2B services). This information will be used as an input to price calculation.",2023-08-18 00:00:00,specified,Production
TMFC010,ResourceCatalogManagement,1.3.0,"The Resource Catalog Management component is responsible for organizing the collection of resource specifications that identify and define all requirements for a resource. The Resource Catalog Management component has the functionality that enables presentation of a customer-facing view, so users are able to browse and select resources they need, as well as a technical view to enable definition and setup of resources contained in the resource catalog. Additional functionalities include capturing new resource specifications, managing resources (registering assets and components and identifying and mapping connections/relationships), administering the lifecycle of resources, describing relationships between resources, reporting on resources and changes to their attributes, and facilitating easy access to identify and assign resources.",2024-12-03 00:00:00,specified,Production
TMFC011,ResourceOrderManagement,1.1.0,"The Resource Order Management Component manages the end-to-end lifecycle of a resource  order request. This includes validating resource availability as well as the resource order request. Other functionality includes resource order assurance,  resource order decomposition and resource order tracking, along with orchestrating  activation and the test and turn-up processes.",,Pre-production,Production
