component,name,functionalBlock,functionType,functionList
TMFC005,ProductInventory,CoreCommerce,eTOM,1.2.11|Product_Inventory_Management|v24.0
TMFC005,ProductInventory,CoreCommerce,eTOM,1.1.19|Loyalty_Program_Management|v24.0
TMFC005,ProductInventory,CoreCommerce,eTOM,1.1.19.2|Loyalty_Program_Operation|v24.0
TMFC005,ProductInventory,CoreCommerce,eTOM,1.1.19.2.5|Manage_Loyalty_Program_Account|v24.0
TMFC005,ProductInventory,CoreCommerce,eTOM,1.1.19.2.7|Provide_Loyalty_Program_Operation_Report|v24.0
TMFC005,ProductInventory,CoreCommerce,functionalFrameworkFunctions,180|Assigned_Products_Maintenance|v24.0
TMFC005,ProductInventory,CoreCommerce,functionalFrameworkFunctions,197|Customer_Product_Storage|v24.0
TMFC005,ProductInventory,CoreCommerce,functionalFrameworkFunctions,198|Customer_Loyalty_Score_Balance_Management|v24.0
TMFC005,ProductInventory,CoreCommerce,functionalFrameworkFunctions,237|Customer_Loyalty_Communication|v24.0
TMFC005,ProductInventory,CoreCommerce,functionalFrameworkFunctions,361|Contract_Implementation|v24.0
TMFC005,ProductInventory,CoreCommerce,functionalFrameworkFunctions,362|Contract_Searching|v24.0
TMFC005,ProductInventory,CoreCommerce,functionalFrameworkFunctions,363|Contract_Storage|v24.0
TMFC005,ProductInventory,CoreCommerce,SID,Product_Domain|Product_and_Offering_Instance_ABE|Product_ABE|v25.0
TMFC005,ProductInventory,CoreCommerce,SID,Product_Domain|ProductOfferingInstance_ABE|v25.0
TMFC005,ProductInventory,CoreCommerce,SID,Product_Domain|Loyalty_ABE|Loyalty_Program_ABE|v25.0
