component,name,functionalBlock,functionType,functionList
TMFC001,ProductCatalogManagement,CoreCommerce,eTOM,1.2.20|Product_Catalog_Lifecycle_Management|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,eTOM,1.1.19|Loyalty_Program_Management|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,eTOM,1.1.19.1|Loyalty_Program_Development_&_Retirement|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,eTOM,1.2.7|Product_Specification_&_Offering_Development_&_Retirement|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,eTOM,1.2.8.7|Implement_Product_Capacity_Plan|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,eTOM,1.6.4|Business_Partner_Offering_Development_&_Retirement|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,eTOM,1.2.8|Product_Capacity_Management|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,eTOM,1.2.22|Product_Catalog_Content_Management|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,eTOM,1.2.21|Product_Catalog_Operational_Readiness_Management|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,eTOM,1.2.19|Product_Catalog_Planning_Management|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,eTOM,1.2.23|Product_Specification_Management|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,eTOM,1.2.8.7.1|Specify_Required_Product_Capacity|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,3|Repository_Entity_Relations_Configuration|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,4|Repository_Entity_Grouping_Configuration|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,6|Repository_Entity_Data_Model_Configuration|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,11|Repository_Entity_Hierarchy_Management|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,123|Product_Catalog_Browsing|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,210|Centralized_Ordering_Rules_Management|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,238|Customer_Loyalty_Rules_Management|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,263|Product_Compatibility_Checking|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,360|Product_Agreement_Specification_Design|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,407|Product_Modeling_Support|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,408|Product_Retirement|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,415|Product_Strategy_linking|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,649|Product_Sourcing_Registration|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,650|Partner_Product_Certification|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,662|Sourcing_Reference_Data_Collection|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,721|Customer_Order_Rules_Configuration|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,722|Order_Rules_Retrieval|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,992|Entity_Management_Notification|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,993|Entity_Management_Reporting|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,1050|Product_Onboarding_Management|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,1053|Onboarded_Product_Workflows_Definition|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,1076|Product_Specification_Design|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,1077|Product_Offering_Design|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,1078|Product_Specification_and_Offering_Change_Auditing|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,1079|Product_Specification_and_Offering_Repository_Management|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,416|Product_Propositions_Operations_Planning|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,417|Product_Strategy_to_Proposition_Alignment|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,418|Product_Strategy/Propositions_Creation|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,419|Product_Strategy_performance_reporting|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,897|Building_Access_Control|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,900|Authorization_Control_Management|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,SID,Product_Domain|Product_Offering_Specification_ABE|v25.0
TMFC001,ProductCatalogManagement,CoreCommerce,SID,Product_Domain|Product_Specification_ABE|v25.0
TMFC001,ProductCatalogManagement,CoreCommerce,SID,Product_Domain|Product_Configuration_ABE|ProductConfigSpec_BE|v25.0
TMFC001,ProductCatalogManagement,CoreCommerce,SID,Product_Domain|Loyalty_ABE|Product_Usage_Spec_ABE|v25.0
TMFC001,ProductCatalogManagement,CoreCommerce,SID,Product_Domain|Product_Usage_ABE|Loyalty_Program_Specification_ABE|v25.0
TMFC001,ProductCatalogManagement,CoreCommerce,SID,Business_Partner_Domain|Party_Product_Specification_and_Offering_ABE|v25.0
TMFC005,ProductInventory,CoreCommerce,eTOM,1.2.11|Product_Inventory_Management|v24.0
TMFC005,ProductInventory,CoreCommerce,eTOM,1.1.19|Loyalty_Program_Management|v24.0
TMFC005,ProductInventory,CoreCommerce,eTOM,1.1.19.2|Loyalty_Program_Operation|v24.0
TMFC005,ProductInventory,CoreCommerce,eTOM,1.1.19.2.5|Manage_Loyalty_Program_Account|v24.0
TMFC005,ProductInventory,CoreCommerce,eTOM,1.1.19.2.7|Provide_Loyalty_Program_Operation_Report|v24.0
TMFC005,ProductInventory,CoreCommerce,functionalFrameworkFunctions,180|Assigned_Products_Maintenance|v24.0
TMFC005,ProductInventory,CoreCommerce,functionalFrameworkFunctions,197|Customer_Product_Storage|v24.0
TMFC005,ProductInventory,CoreCommerce,functionalFrameworkFunctions,198|Customer_Loyalty_Score_Balance_Management|v24.0
TMFC005,ProductInventory,CoreCommerce,functionalFrameworkFunctions,237|Customer_Loyalty_Communication|v24.0
TMFC005,ProductInventory,CoreCommerce,functionalFrameworkFunctions,361|Contract_Implementation|v24.0
TMFC005,ProductInventory,CoreCommerce,functionalFrameworkFunctions,362|Contract_Searching|v24.0
TMFC005,ProductInventory,CoreCommerce,functionalFrameworkFunctions,363|Contract_Storage|v24.0
TMFC005,ProductInventory,CoreCommerce,SID,Product_Domain|Product_and_Offering_Instance_ABE|Product_ABE|v25.0
TMFC005,ProductInventory,CoreCommerce,SID,Product_Domain|ProductOfferingInstance_ABE|v25.0
TMFC005,ProductInventory,CoreCommerce,SID,Product_Domain|Loyalty_ABE|Loyalty_Program_ABE|v25.0
