component,name,function,apiType,api,version,specVersion,required,resource,method
TMFC005,ProductInventory,coreFunction,exposedAPIs,TMF637,v4.0.0,4.0.0,true,product,GET
TMFC005,ProductInventory,coreFunction,exposedAPIs,TMF637,v4.0.0,4.0.0,true,product,GET /id
TMFC005,ProductInventory,coreFunction,exposedAPIs,TMF637,v4.0.0,4.0.0,true,product,POST
TMFC005,ProductInventory,coreFunction,exposedAPIs,TMF637,v4.0.0,4.0.0,true,product,PATCH
TMFC005,ProductInventory,coreFunction,exposedAPIs,TMF637,v4.0.0,4.0.0,true,product,DELETE
TMFC005,ProductInventory,coreFunction,exposedAPIs,TMF701,v4.0.0,4.1.0,false,processFlow,POST
TMFC005,ProductInventory,coreFunction,exposedAPIs,TMF701,v4.0.0,4.1.0,false,processFlow,GET
TMFC005,ProductInventory,coreFunction,exposedAPIs,TMF701,v4.0.0,4.1.0,false,processFlow,GET /id
TMFC005,ProductInventory,coreFunction,exposedAPIs,TMF701,v4.0.0,4.1.0,false,processFlow,DELETE
TMFC005,ProductInventory,coreFunction,exposedAPIs,TMF701,v4.0.0,4.1.0,false,taskFlow,PATCH
TMFC005,ProductInventory,coreFunction,exposedAPIs,TMF701,v4.0.0,4.1.0,false,taskFlow,GET
TMFC005,ProductInventory,coreFunction,exposedAPIs,TMF701,v4.0.0,4.1.0,false,taskFlow,GET /id
TMFC005,ProductInventory,coreFunction,dependentAPIs,TMF620,v4.0.0,4.1.0,true,productSpecification,GET
TMFC005,ProductInventory,coreFunction,dependentAPIs,TMF620,v4.0.0,4.1.0,true,productSpecification,GET /id
TMFC005,ProductInventory,coreFunction,dependentAPIs,TMF620,v4.0.0,4.1.0,true,productOffering,GET
TMFC005,ProductInventory,coreFunction,dependentAPIs,TMF620,v4.0.0,4.1.0,true,productOffering,GET /id
TMFC005,ProductInventory,coreFunction,dependentAPIs,TMF620,v4.0.0,4.1.0,true,productOfferingPrice,GET
TMFC005,ProductInventory,coreFunction,dependentAPIs,TMF620,v4.0.0,4.1.0,true,productOfferingPrice,GET /id
TMFC005,ProductInventory,coreFunction,dependentAPIs,TMF669,v4.0.0,4.0.0,false,PartyRoleManagement,GET
TMFC005,ProductInventory,coreFunction,dependentAPIs,TMF669,v4.0.0,4.0.0,false,PartyRoleManagement,GET /id
TMFC005,ProductInventory,coreFunction,dependentAPIs,TMF639,v4.0.0,4.0.0,false,resource,GET
TMFC005,ProductInventory,coreFunction,dependentAPIs,TMF639,v4.0.0,4.0.0,false,resource,GET /id
TMFC005,ProductInventory,coreFunction,dependentAPIs,TMF651,v4.0.0,4.0.0,false,agreement,GET
TMFC005,ProductInventory,coreFunction,dependentAPIs,TMF651,v4.0.0,4.0.0,false,agreement,GET /id
TMFC005,ProductInventory,coreFunction,dependentAPIs,TMF673,v4.0.0,4.0.0,false,geographicAddress,GET
TMFC005,ProductInventory,coreFunction,dependentAPIs,TMF673,v4.0.0,4.0.0,false,geographicAddress,GET /id
TMFC005,ProductInventory,coreFunction,dependentAPIs,TMF673,v4.0.0,4.0.0,false,geographicSubAddress,GET
TMFC005,ProductInventory,coreFunction,dependentAPIs,TMF673,v4.0.0,4.0.0,false,geographicSubAddress,GET /id
